[22:29:55] [ServerMain/INFO]: [bootstrap] Running Java 21 (OpenJDK 64-Bit Server VM 21.0.5+11-Ubuntu-1ubuntu120.04; Ubuntu null) on Linux 6.5.0-1025-azure (amd64)
[22:29:55] [ServerMain/INFO]: [bootstrap] Loading Paper 1.21-130-master@b1b5d4c (2024-08-10T10:02:42Z) for Minecraft 1.21
[22:29:55] [ServerMain/INFO]: [PluginInitializerManager] Initializing plugins...
[22:29:56] [Paper Plugin Remapper Thread - 2/INFO]: [PluginRemapper] Remapping plugin 'plugins/HomesPlugin-1.4.jar'...
[22:29:56] [Paper Plugin Remapper Thread - 2/INFO]: [PluginRemapper] Done remapping plugin 'plugins/HomesPlugin-1.4.jar' in 529ms.
[22:29:58] [DefaultMetadataResolver-0-3/INFO]: [MavenLibraryResolver] Downloading https://repo.extendedclip.com/content/repositories/placeholderapi/org/mineskin/java-client-jsoup/2.0.0-SNAPSHOT/maven-metadata.xml
[22:29:58] [DefaultMetadataResolver-0-2/INFO]: [MavenLibraryResolver] Downloading https://repo.opencollab.dev/main/org/mineskin/java-client-jsoup/2.0.0-SNAPSHOT/maven-metadata.xml
[22:29:58] [DefaultMetadataResolver-0-0/INFO]: [MavenLibraryResolver] Downloading https://repo.papermc.io/repository/maven-public/org/mineskin/java-client-jsoup/2.0.0-SNAPSHOT/maven-metadata.xml
[22:29:58] [DefaultMetadataResolver-0-1/INFO]: [MavenLibraryResolver] Downloading https://oss.sonatype.org/content/groups/public/org/mineskin/java-client-jsoup/2.0.0-SNAPSHOT/maven-metadata.xml
[22:29:58] [DefaultMetadataResolver-0-2/INFO]: [MavenLibraryResolver] Downloading https://repo.inventivetalent.org/repository/public/org/mineskin/java-client-jsoup/2.0.0-SNAPSHOT/maven-metadata.xml
[22:29:58] [DefaultMetadataResolver-0-1/INFO]: [MavenLibraryResolver] Downloading https://repo.codemc.org/repository/maven-releases/org/mineskin/java-client-jsoup/2.0.0-SNAPSHOT/maven-metadata.xml
[22:29:58] [DefaultMetadataResolver-0-3/INFO]: [MavenLibraryResolver] Downloading https://maven.quiltmc.org/repository/release/org/mineskin/java-client-jsoup/2.0.0-SNAPSHOT/maven-metadata.xml
[22:29:58] [DefaultMetadataResolver-0-0/INFO]: [MavenLibraryResolver] Downloading https://maven.fabricmc.net/org/mineskin/java-client-jsoup/2.0.0-SNAPSHOT/maven-metadata.xml
[22:29:59] [ServerMain/INFO]: [MavenLibraryResolver] Downloading https://repo.papermc.io/repository/maven-public/org/mineskin/java-client-jsoup/2.0.0-SNAPSHOT/java-client-jsoup-2.0.0-20240827.133951-2.pom
[22:29:59] [ServerMain/INFO]: [MavenLibraryResolver] Downloading https://oss.sonatype.org/content/groups/public/org/mineskin/java-client-jsoup/2.0.0-SNAPSHOT/java-client-jsoup-2.0.0-20240827.133951-2.pom
